Registered_Email,Acc_Act_Link,ActivationCode,UserID
iOS_8562081361685714286271@grr.la,https://site-stage.artbasel.com/access?action=activate&code=KifgqM&userId=2ada5876-4d01-ee11-8f6e-000d3a655712&extraAction=&redirect=,KifgqM,2ada5876-4d01-ee11-8f6e-000d3a655712
iOS_80667657431685714306343@grr.la,https://site-stage.artbasel.com/access?action=activate&code=vX5srs&userId=4a503485-4d01-ee11-8f6e-000d3a6554c1&extraAction=&redirect=,vX5srs,4a503485-4d01-ee11-8f6e-000d3a6554c1
iOS_65775265401685714336390@grr.la,https://site-stage.artbasel.com/access?action=activate&code=k4cPGF&userId=f861ea92-4d01-ee11-8f6e-000d3a6554c1&extraAction=&redirect=,k4cPGF,f861ea92-4d01-ee11-8f6e-000d3a6554c1
iOS_377916381685714359421@grr.la,https://site-stage.artbasel.com/access?action=activate&code=u6M4tk&userId=8a1723a4-4d01-ee11-8f6e-000d3ad9868c&extraAction=&redirect=,u6M4tk,8a1723a4-4d01-ee11-8f6e-000d3ad9868c
iOS_33881254041685714373846@grr.la,https://site-stage.artbasel.com/access?action=activate&code=dLYeXA&userId=5dc032ae-4d01-ee11-8f6e-000d3a655712&extraAction=&redirect=,dLYeXA,5dc032ae-4d01-ee11-8f6e-000d3a655712
iOS_16805720561685714394178@grr.la,https://site-stage.artbasel.com/access?action=activate&code=uCp2zL&userId=d943eab6-4d01-ee11-8f6e-000d3ad9868c&extraAction=&redirect=,uCp2zL,d943eab6-4d01-ee11-8f6e-000d3ad9868c
iOS_55020149941685714430099@grr.la,https://site-stage.artbasel.com/access?action=activate&code=AYZr5h&userId=e9f03ecc-4d01-ee11-8f6e-000d3ad9838f&extraAction=&redirect=,AYZr5h,e9f03ecc-4d01-ee11-8f6e-000d3ad9838f
iOS_91735537661685714464448@grr.la,https://site-stage.artbasel.com/access?action=activate&code=nxSn2H&userId=508c4ede-4d01-ee11-8f6e-000d3ad98f71&extraAction=&redirect=,nxSn2H,508c4ede-4d01-ee11-8f6e-000d3ad98f71
iOS_30053079201685714475504@grr.la,https://site-stage.artbasel.com/access?action=activate&code=yjmNaN&userId=79193ae5-4d01-ee11-8f6e-000d3ad9838f&extraAction=&redirect=,yjmNaN,79193ae5-4d01-ee11-8f6e-000d3ad9838f
iOS_12967399331685714494086@grr.la,https://site-stage.artbasel.com/access?action=activate&code=sVKq9P&userId=c87102f1-4d01-ee11-8f6e-000d3ad985cf&extraAction=&redirect=,sVKq9P,c87102f1-4d01-ee11-8f6e-000d3ad985cf
